date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
2/1/2021,22.2,15.7,29.5,10,,1015.5,12240,Bengaluru
3/1/2021,25.6,18,33.2,0,,1013.3,14100,Bengaluru
4/1/2021,27.1,20.5,34,118,,1011.9,9780,Bengaluru
5/1/2021,26.7,22.4,32.2,131,,1010,11220,Bengaluru
6/1/2021,24.7,19.9,30.1,90,,1010.7,7140,Bengaluru
7/1/2021,23.7,19.1,28.9,203,,1009.8,4920,Bengaluru
8/1/2021,23.6,19,28.9,99,,1011,5940,Bengaluru
9/1/2021,23.9,19,29.2,189,,1010.6,6780,Bengaluru
10/1/2021,23.5,19.3,28.8,367,,1012,6840,Bengaluru
11/1/2021,21.7,18.2,26.2,279,,1012.5,3000,Bengaluru
12/1/2021,21.1,15.9,27,6,,1016.6,7560,Bengaluru
1/1/2022,21.9,16.5,27.9,3,,1015.5,9840,Bengaluru
2/1/2022,22.8,15.8,30.2,0,,1014.9,12060,Bengaluru
3/1/2022,25.4,18.6,32.6,16,,1013.3,9960,Bengaluru
4/1/2022,26.9,20.8,34.2,135,,1012.6,11220,Bengaluru
5/1/2022,24.5,19.7,30.4,267,,1010,8460,Bengaluru
6/1/2022,24.3,19.2,29.9,280,,1010.5,7740,Bengaluru
7/1/2022,23.2,18.9,28.2,105.9,,1010,4020,Bengaluru
8/1/2022,23.7,19.1,28.5,366.7,,1009.8,4740,Bengaluru
9/1/2022,23.4,18.8,28.7,298.8,,1011.8,6420,Bengaluru
10/1/2022,22.9,18.1,27.8,238.9,,1013.8,6420,Bengaluru
11/1/2022,21.6,17,26.7,74.8,,1015.5,6240,Bengaluru
12/1/2022,21.2,16.7,27,73,,1015.5,7620,Bengaluru
1/1/2023,20.3,15.2,27.6,0.5,,1017.4,12000,Bengaluru
2/1/2023,22.6,16.2,30.3,0,,1016.8,13920,Bengaluru
3/1/2023,24.6,18.5,31.4,46.3,,1015.6,11520,Bengaluru
4/1/2023,27.7,21.3,35,88.4,,1011.8,11700,Bengaluru
5/1/2023,26.7,20.7,33.9,151.6,,1012,10080,Bengaluru
6/1/2023,25.2,19.7,30.8,93.3,,1011.9,7980,Bengaluru
7/1/2023,23.3,19.3,28.6,83.8,,1012.1,3480,Bengaluru
8/1/2023,24.9,20,30.5,53.8,,1014.2,9600,Bengaluru
9/1/2023,23.9,19.8,29.4,165.2,,1013.2,,Bengaluru
10/1/2023,24.4,19.5,30.1,111.1,,1016.2,9960,Bengaluru
11/1/2023,23.2,18.1,28.6,92.9,,1016.8,8160,Bengaluru
12/1/2023,21.9,17.2,28.5,11.1,,1017.1,7260,Bengaluru
1/1/2024,22,16.3,29.2,10,,1018,10500,Bengaluru
